Mol. index,alpha1,alpha2,alpha3,cluster,6-1-14-20,1-6-13-19,25-26-34-39,26-25-33-38,44-45-53-58,45-44-52-57,63-64-72-77,64-63-71-76,subcluster
1227,103.39311513073784,63.84833404327923,106.98617057907435,51,176.8319612765763,-1.1740302449280329,-1.444845089639465,184.88970847295468,8.193057440606134,185.55606453954832,181.95619541931762,-28.818095821889223,6
1230,102.91127080139437,59.10081614110206,107.271949931911,51,165.80464087248683,-21.24897110669368,-5.677049854449152,164.41050282653447,-9.408019159180029,167.2467462116989,215.67621823838977,-7.755468927296736,6
1250,101.34458078707934,66.03469615042674,113.75883642778008,51,-7.291438137759181,169.61859428483004,14.38543895473974,165.07925387549733,-25.35001470243489,193.65126927354305,198.8457069298759,-7.9660348039879265,2
1312,100.78339857260464,61.910837934224126,108.1903640888008,51,8.731725023749021,170.35604781908762,164.3964456802317,219.8022658862369,186.44240447293035,153.79057132314435,175.25135017737284,10.934517254259251,7
1587,101.73965959404478,57.34364955198183,128.24152423297193,51,-1.3703912758622283,216.02408444261312,-7.527371956321286,205.4389188716733,168.86226903820793,15.97827555448525,156.31802359889684,38.47701456804869,5
322,77.49874056448272,87.40148918990606,72.4000414084462,52,-3.3806444601826584,188.8852344100204,3.4348273094997923,152.48134145271638,4.490994318119627,179.2965211033541,9.0856110528141,172.5909807645368,2
508,75.15960872522385,95.5369883425768,71.3827834121342,52,13.34628018738689,179.260253158946,-8.73496013919186,151.4492446441673,19.207719286118785,183.317691205294,162.26662630121942,4.586131784585351,0
687,77.4018331284076,92.3776154963878,57.75903535723809,52,17.259851016053112,163.72743367131045,3.9114808198064734,202.17079503482893,-23.248716358818275,172.2838429144313,4.555932396283142,71.72040571241088,8
696,75.35187037610746,88.35907655443525,58.42978642529256,52,2.7662338550315324,197.59978790434346,177.6001296616515,152.98322347784443,-9.160990684125068,170.42443289104605,2.1899007800815755,164.632324859631,4
724,76.56031605353152,101.00148882010564,68.18300960588797,52,13.083235289592816,186.95502535861837,-0.5850702341769031,158.8525316990439,-4.720642951780717,200.14162792229345,170.56749823406562,1.326975582292651,0
858,79.92186277644882,92.53081113836366,62.85645047647839,52,-19.752023643387265,165.81604643840592,159.5228525815082,-4.394690083512039,175.78635624239743,16.401057715040025,181.45618365205536,-36.32811484030079,1
861,71.32439080752009,97.2149181337452,63.89518139685456,52,16.6923924111775,195.49651790836745,197.3322706758178,13.673761747172636,175.09933680695457,-8.385272346397388,214.45225383727538,-21.534144545117943,1
923,89.89556117380354,100.26725811182467,59.94418056030296,52,-23.47672683914436,212.72701139889818,163.92988363199527,20.641531357491903,183.72981820541764,1.644878790091531,166.58931081082943,31.31626822073241,9
957,69.0461930072511,92.73685810382298,62.36745166189785,52,12.750942078556584,208.95590506593564,196.1027101490773,-2.5858439274145693,189.50402981237917,204.16102615541496,167.98585054439064,0.3202879378596158,6
973,68.46121658886064,85.96930709232586,61.950586997002056,52,-2.325157746409365,186.34628737926943,171.77690658950235,-0.2217428196058349,184.27003424390443,170.39544178555582,182.38261209752324,-6.709284328210004,6
1057,86.59131900620208,97.2844095633922,57.646739622219016,52,17.12079854889303,188.92794190075026,180.6052440579742,3.3488727025444973,15.539418059798685,191.15995758278547,176.89300461317256,2.639884535845473,10
1065,82.603651028897,100.88642147593768,67.1350077854673,52,-18.90597897310281,173.9269837030264,156.68347968295802,-6.627998409457606,-25.524254309405563,196.05691926864571,234.04297495923365,15.680637382862908,5
1280,76.02164868197971,86.59681727037095,64.20804873753814,52,8.61822965950205,156.9738500144408,17.83843418273156,158.81109433512887,10.817134177759405,173.81457511431088,205.14988148895648,-3.400626804943598,0
1293,88.4101631461079,95.27845026215648,63.100872720236985,52,37.55813350906642,202.95782039586186,210.435874587629,178.975060148415,2.554527658936407,174.43403748316882,238.37604442513492,7.956803456305669,7
1321,83.04623581628672,93.04689042488064,62.993170043795615,52,-19.697861682621934,205.81015259714587,191.97081768562848,186.12308107791677,185.33064948999956,182.58375715816723,194.293604220337,1.4637387627196907,3
1337,72.01884965966116,92.92406944477804,66.45230324036005,52,-29.059699376684133,209.73819021461046,169.75299373110104,181.09801169084986,175.12159602287818,199.29155398585686,198.97942382720024,-20.20377813007548,3
1,51.05622078193539,56.86056929570416,68.3426997160609,53,34.54607910388545,177.57639422108068,-21.193118205210617,164.58363308505508,10.61466641355395,210.61075164362464,211.1507590709449,3.715884496240199,7
57,57.968145207640525,53.16389709244709,76.86107075981452,53,6.716159696827285,231.681940484658,-7.873879798384059,175.80312817646887,-3.117890121001816,181.21350892289047,-17.129777557647852,-5.442985033477559,5
75,52.12691049217373,68.1379587286486,77.50059412027043,53,11.721590153448972,181.73371192185434,-2.558455344875424,202.3249923416156,-26.31792478813733,172.29687415143454,187.43418449585096,17.251170884454044,2
140,50.89894685421744,62.04698931245695,75.39453392459973,53,15.548997867726998,196.69067488712187,207.54278118231971,177.997885917479,3.5068431688680173,178.90534444152718,162.2228862358127,-3.0737407350102863,1
214,46.113462780067934,61.89516831809525,74.54029896191125,53,16.41845610559863,177.46051359182346,-21.06512529247188,166.07923335826945,0.0820725956444795,170.94718068827194,-25.373481020204807,184.66462956971483,0
263,57.622668793592815,56.37425473512255,67.28822597874702,53,8.961345626988816,188.269079949293,-14.261281624219876,159.13936227490748,4.486463602068555,159.00875502692747,15.891764369691751,162.23440077843807,0
265,61.50513290463505,60.2677095098685,73.53343718502498,53,-24.34880451460892,160.6533408164545,23.249941713197607,167.5910216019977,0.9791891627027484,197.5756455585807,-3.2680788322558088,184.65883721381402,6
270,58.59789943854136,64.36642595250555,72.78791267948355,53,-17.097159954910257,175.84245023227126,7.268691974933378,183.3292682655718,-6.858378353362758,163.48252493793646,-1.7133062948967928,169.17645741281717,6
272,57.70194191540837,59.38841459964903,81.28442670667371,53,22.006520564459183,173.86397844751843,-36.8589599722298,157.79520751132443,-12.959118026449223,175.67140262435072,4.759027996299635,175.48931249046188,0
277,54.38971666769173,49.84424893268981,69.87217715916249,53,-19.00621743213129,162.32530872539598,-4.303815790216159,170.9702263200797,-11.0321415570698,195.19909303693737,4.649482625680092,180.90345309924726,6
281,48.14104095856385,56.79273802752758,74.75551747624655,53,7.091777839817741,165.10341345226442,4.397565737304866,183.12754202274522,18.59963573911877,143.0075928013371,6.154599547610337,142.3085814230287,6
