Mol. index,alpha1,alpha2,alpha3,cluster,1-6-13-18,23-24-32-37,24-23-31-36,42-43-51-56,43-42-50-55,61-62-70-75,62-61-69-74,subcluster
426,87.79192165475187,79.99673911658948,109.39823780215124,3,155.56627378123622,1.4453080156625455,196.20331855666024,4.790683089830735,180.05176994565542,163.72890671803472,-8.693731831300228,0
649,85.23357176970374,69.09146914522891,103.2526181490879,3,177.11777851330223,-23.17336827606219,167.15307287420325,-22.398966558533736,188.66302997614102,165.6836705226154,192.96521282507356,3
652,77.58944929337963,73.46715666503364,113.7019106454718,3,161.58285527192186,-30.234522949610827,147.87293368975963,1.6843260388942645,154.8117300501564,159.79947364159145,166.23764666591606,3
656,80.70612166210155,71.59598215643979,111.00551505665936,3,161.74604957822447,-18.642450072421568,184.690613156055,8.441634453484708,196.22654597823146,201.1436240648651,214.53316066797433,3
666,80.85475683981345,76.50601918471476,115.7463097532458,3,167.53022498165575,33.42556908644173,175.98029368746003,2.7981787444387303,156.765535253546,167.62677282063248,22.708635008346253,0
674,83.07344428601102,71.87108807888579,110.66234465206092,3,169.2275252119512,18.31578172558412,187.65650464181826,19.569433764895752,165.99250251088566,178.9346453671567,4.04665662380229,0
678,83.40701924532314,66.57694226196246,100.28372591880807,3,183.71200681551747,20.68081302080446,143.31952521312442,-1.4340961844013975,180.90667122761667,171.90051798928803,-2.3585470168318987,0
692,77.2307809280634,73.31883227645434,111.21982749012952,3,212.61137420707456,4.183873161084932,157.80226370814424,195.98545657052483,195.3684298578946,181.43561143425225,3.4849724515511737,5
819,87.6681460757922,79.3372735970697,112.43825060226176,3,175.985433055461,3.174492570865284,208.65963739395545,-8.938322283197822,167.00684402234623,9.491324394873438,168.8255478398185,6
1008,81.51537904982258,80.55299949101575,113.4699844116851,3,200.61099120457715,168.3730461766309,-6.549008598243022,27.14809664292193,212.88897850020612,157.65558345832304,-9.491782212070426,9
1181,85.71107166130663,68.19316877069116,104.83374554624208,3,186.70226213805455,168.52552297520373,194.106627498046,180.4153228739885,-2.425933809532578,4.8997230010198365,12.701723003278728,8
1207,87.676555043816,87.3608651724576,107.7650470697508,3,195.37890808599568,173.78499699905495,171.59370111814982,-10.868585101474476,193.12735600320016,159.23439489929575,-17.02702511242107,1
1221,83.4558684319927,67.01602009488407,106.72094052476724,3,185.26237602731882,199.18187937982498,36.94568050989353,12.862166474916409,210.64043269382614,199.3882633712306,19.99634560153893,9
1255,87.3568404890819,75.0281209193133,111.4720496666114,3,179.16792477649582,191.16989952564214,21.323221497718347,196.1264541413686,161.52886795623533,168.31739583397106,7.068066761749554,4
1274,78.55735328300622,84.31239374838904,124.20319774079869,3,176.00457017686978,200.7926677112789,-28.758339530743136,171.76491071294166,176.03976792780074,172.87038428633898,12.836673636643326,4
1403,84.47524453044187,71.14349173814597,109.72034737687306,3,171.70696977732013,-23.00740484709385,165.6654464911357,-18.93728635173504,201.97303135820874,178.51741117608017,-28.00996060490224,0
1414,82.64783204420033,71.45632098837737,107.84166355088632,3,181.12488343965825,178.45191221822438,165.78244855079438,18.43023848025076,190.9929910136868,179.22715936143123,12.532007758681743,1
1422,75.06388756470268,71.32470904416299,101.05640149822182,3,191.62749089685866,187.2280223894274,162.40296015972393,12.474318266468591,170.6116600879985,191.079308066376,-3.915910809144664,1
1439,82.74455400726765,76.9321351018518,100.83695681515968,3,165.65274481665986,196.3341735613207,202.25091896116706,19.65380928532583,163.09599979042807,151.5158372555628,10.510611627267863,1
1471,84.88384140170211,78.34964904141471,114.3626238185691,3,172.59777057322577,-1.468307054186203,176.40585672337198,21.33815305163907,166.44230093398193,161.41803628958905,36.9378952577024,0
1538,78.43740209117139,80.8717849658118,114.5754882034423,3,181.77409003232884,9.62626922917414,164.56314732429956,140.307500931093,166.14722672853986,194.05748177796215,-11.041227305060572,5
1563,72.18766436514584,81.8209341333333,105.27258605167876,3,153.66507229952506,-17.475890343593523,199.0087839343965,170.0911525864075,187.9009735061828,166.96701154823086,1.8613647102990016,5
8,107.75567573518346,62.13009537482347,64.14473785152728,4,189.21038112584085,4.572045462681274,174.84042574476703,18.29012846546024,182.17212197123578,188.1240888223693,-33.976997630680856,3
66,99.24439760866424,62.37326252696689,72.34123613343928,4,158.91788914813,-4.906177442879784,183.96267390905803,-7.773633731188541,186.36982675379235,182.99958122781553,-41.56506392107433,3
190,97.7294697804229,66.12757272761925,75.40077763562293,4,180.08967527604804,11.387905726435177,185.7907198032914,2.224650963657093,192.1558776345923,191.14788307429703,3.466632870764235,3
204,103.35043845582784,74.16299266328694,66.79433191879231,4,182.34419301112007,-11.457639904214522,174.96386254879368,186.90126346253348,189.1401032863467,35.06050421636436,209.5817093977414,10
