Mol. index,alpha1,alpha2,alpha3,cluster,23-24-32-37,24-23-31-36,42-43-51-56,43-42-50-55,61-62-70-75,62-61-69-74,subcluster
1374,81.12559218110955,96.1781456079762,94.52610939696515,1,-22.36009081918751,158.99855843756117,4.637966491675009,184.84616503450096,189.65226075087324,22.682209226172,1
1376,78.42904228423687,106.62416486705426,101.63615163441884,1,105.23711533888326,133.3804156447477,-25.6131854144551,189.72148084228112,206.36129748563008,9.46252288626627,8
1441,94.03698483862092,100.113203686444,101.92952675685125,1,-8.561484434768355,150.3774143569956,-5.451261025142629,194.40313893141135,182.9911573012551,-38.08799716694063,7
1442,80.17306524504197,104.04558338601096,90.97502482285635,1,-42.34841768135554,168.71721665476147,21.705511238934985,187.51715358371493,152.4625882582798,54.34833918141792,5
60,111.53029225666404,84.94852657575854,73.48152976321522,2,-6.067864529202993,176.69471260270583,-9.93970921374684,179.0548182605641,204.539147532081,-15.4550330683953,0
116,109.34307175173204,76.87841666068685,79.09831921634785,2,-7.4579551333009535,156.28378726010754,-3.5421971906213443,162.5332476238695,8.215762603236305,173.32118971830818,1
154,116.09002767156194,81.54465846015545,75.95852233121394,2,-20.639887144753217,164.0113124115263,-13.26398539344085,191.05041690140527,47.36562743141349,201.10328854410085,1
163,116.28685363288648,74.59630071490368,78.52315767923236,2,-21.57820865691036,169.69981042822212,-3.5520313387844937,193.74188975406818,5.372685080861089,196.69202300799228,1
174,111.12208160538506,75.15622811244518,84.9083467145432,2,13.241596893850486,162.5982344023895,-30.48469721422585,186.45664052797454,172.8971208947221,-3.934079336768613,0
186,106.94785031253429,84.48969254959766,72.15929112171638,2,-31.17113533159448,157.56636660301058,12.008973768160615,185.55067374360453,209.24021242919824,22.546479016655205,0
254,113.59104008904905,80.14315277154758,88.18626105205796,2,25.61022253760154,195.75684660006283,-8.909272539227235,174.1738056910705,189.53076949307416,13.132533407389792,0
331,104.91491048042867,83.3864708440478,81.66210345802612,2,11.676288522971197,180.0700652368022,3.5963262054081646,157.6719576096351,209.2432613361675,-2.8657170697568195,0
520,97.19741553711278,80.75831404582092,77.94222158933732,2,25.99539001898469,155.91520906218926,-20.068211653222093,205.22165099068252,193.5055228828361,12.0426113338006,0
