alpha1,alpha2,alpha3,1-6-13-18,23-24-32-37,24-23-31-36,42-43-51-56,43-42-50-55,61-62-70-75,62-61-69-74,cluster
123.06752476484311,108.00646830739754,98.27021441448424,166.83867220222774,213.4375249740706,185.6739755128874,183.34777734466888,167.89908428588603,182.39867029675128,0.9585864524682772,1.0
116.2907233299512,101.65193588082336,91.1147662268603,194.63132955797343,2.4717851568500526,181.08200743709423,179.11249449540773,201.04201344231717,195.80995909934464,7.19432327139745,1.0
122.5895808292063,105.97933127710425,91.40597817170226,168.4823755308351,163.2454087376629,5.824397103296584,4.684107130685541,177.7184742455064,179.61011834847233,13.492981599602999,1.0
125.76364472534613,105.95959919519736,92.22437163404528,-27.18734562782221,11.401849549725856,196.33733516822767,-12.01300551532018,164.18421987047213,156.45252288550884,-10.768538106704645,1.0
116.36975676350724,57.80820049353785,105.53057595472873,182.888210896337,200.899105727801,-14.538131202690792,170.15536005083658,188.57274488804734,190.1950858749492,-1.2072552035269168,2.0
115.62651008823308,49.91801627841498,102.30191492710742,185.8019359663267,204.46665408293373,158.26871590662734,-2.019644753934929,166.61760560100635,177.6131607189529,10.337523407424758,2.0
130.71225118847727,58.50749359834617,99.64720089153674,172.59731809707557,-17.63759753638449,150.09392858282524,-5.0916771160132654,147.6072120779748,-6.711030310532266,199.58204246475523,2.0
116.21930038034797,58.0014171436891,105.01848372300837,173.11810402209517,-2.0866794356901175,186.88718057741812,6.75836130052858,176.33416031810987,188.7518225272869,-4.472856393242842,2.0
114.2563272682268,65.95903194124554,105.672649171301,207.41138121980453,186.5942698904093,171.2573438130786,163.95116324186552,-13.934480078721355,179.42961856072966,-13.255880213996246,2.0
116.14198696577893,46.15418654058962,103.81528860396462,182.4865389763878,171.24458692518388,177.9814930940116,193.1459528455908,195.71882230521547,169.19543419661093,0.5469231538684338,2.0
116.77779879776314,48.9761464519538,114.19503258143092,184.30098214945272,189.30811848706077,-1.894210502905353,172.82176302307312,-10.409104579160129,191.90401689056355,7.595907446856712,2.0
115.74013575733376,63.17151304921051,101.31288523998248,172.79379181050717,221.062963489288,-5.736816263347839,-17.192127719638936,162.10117658835065,175.12982007345377,-20.420089316888493,2.0
82.43369855830014,74.7355141138787,110.75339557346432,171.59349622412685,-4.201369754406147,176.7540900127747,2.5588630401183745,180.05665521991386,175.45091663132249,-1.2822729347234685,3.0
82.03320716499667,76.76850757671244,104.37501723350466,183.4460068097931,183.94977629200685,175.50750719745878,9.922445232642676,179.4570017238284,170.26417489566646,0.5249208660959677,3.0
84.94336279591154,88.20253361414909,107.91000449830756,188.8656251170112,9.961607375992784,175.46322490719348,161.8777073274396,-34.49043620712541,160.40563654052232,-8.473943384956062,3.0
81.17638090839499,71.38486932223411,109.32001461707301,166.81556112114953,-24.016780432698198,166.5722065733393,-4.091002022051588,179.90043533484297,175.5422560763573,191.245340052988,3.0
82.95709688604407,79.67025733385117,117.83762370370505,177.5862474766828,195.9812836184605,-3.7175590165123946,183.94568242715513,168.78431794201805,170.59389006015502,9.95237019919644,3.0
75.95194912812688,78.67051712519981,110.35596724841685,182.6835121796428,-1.221915984444817,173.79139832228012,168.7947033626751,183.1388766975391,180.8200349201484,-1.8982967144034653,3.0
87.6681460757922,79.3372735970697,112.43825060226176,175.985433055461,3.174492570865284,208.65963739395545,-8.938322283197822,167.00684402234623,9.491324394873438,168.8255478398185,3.0
83.58484171759862,78.15685504878041,115.56798316893092,7.543123221037629,-1.601097525677743,200.8430306446961,160.43555293062403,4.869887096142885,169.46669003278623,34.01022297190181,3.0
85.71107166130663,68.19316877069116,104.83374554624208,186.70226213805452,168.52552297520373,194.106627498046,180.4153228739885,-2.425933809532578,4.8997230010198365,12.701723003278728,3.0
82.48562374090764,73.7845097929499,110.09546246822617,192.93668361594797,183.7774627782279,15.198335955825254,20.00513155891917,211.7647055970161,178.52192341477684,5.252281694734252,3.0
104.39461534439988,62.10066155768723,70.50298459303283,179.20373014378077,7.535840203244123,132.3218519788111,193.2601463919285,179.49267973880967,195.09181841361337,-28.707825941047247,4.0
103.91889095600507,64.85117601232734,69.72453525923518,178.15097335770167,2.81017359519749,161.40866529784836,-8.509630182950767,168.9235064515458,-8.300030412066704,176.06280303867962,4.0
100.13402714095686,65.54185596004022,72.79439942472065,189.49590058087162,187.74285694540748,-5.1366820391040715,166.8609611127375,-2.7224938462065125,175.76781446134697,-2.2188804070487635,4.0
101.82412743452393,64.47735645101405,67.95530019989758,178.05762038265527,-0.2063152348198594,180.63872295945467,9.281842725742978,187.93109802230893,185.41315873999082,-0.3013075548836097,4.0
99.86665754303101,63.953263332226435,72.79337010540968,187.15445825606662,179.04895878990254,-7.676412879848116,174.63146874688493,187.9057406420425,182.9914731077059,1.0091844575245552,4.0
105.61190954511066,66.33898253570732,70.2337056646794,178.4848193819866,-8.56252011320645,190.58423824276446,193.2999658133645,-9.985119147844856,180.915942568018,12.145848690464074,4.0
106.57026625982155,66.92230399333783,72.45291632617433,192.7757571369231,184.06373930764894,176.57287222057894,176.71901134340433,-9.713938325690334,169.39762992331006,-16.75516666496785,4.0
108.29788494729664,67.93016357386043,79.06731491032555,12.590213577140911,155.3604590017697,139.1022399199196,190.3555805110639,-27.789906398959804,194.1906415736833,0.6124513528692185,4.0
99.2728161035826,77.43156458822646,72.32293039767842,206.72524510748843,-10.601957479006668,161.98108187801893,-11.170838127281174,189.56509237497824,-2.17610733207098,38.15478705028136,4.0
99.83903747819448,65.759156070333,68.51054591249068,163.9535647855519,181.32911668779536,200.10219735615993,171.15631389761376,201.0913644385316,157.80265609625008,0.6130159658286334,4.0
103.35043845582784,74.16299266328694,66.79433191879231,182.34419301112007,-11.457639904214522,174.96386254879368,186.90126346253348,189.1401032863467,35.06050421636436,209.5817093977414,4.0
102.07782758848256,67.06386641674466,66.22519202266086,-10.366243144811474,-23.70333580448677,200.3266790226523,178.07145873199133,-10.753548938573536,169.04062887065268,-17.66377516538706,4.0
103.23920027589186,66.94963741257071,76.37643345032943,208.71833623506205,180.54867387297531,-0.7960805527947271,30.26726471035061,221.0941382103941,189.30148587552023,-10.14470957599158,4.0
99.15882807625896,63.24515405174554,80.70738588581523,179.6485314230245,199.04725795879745,181.62724686542504,24.98763808891379,161.51928298838033,183.7092043176549,10.552442328594346,4.0
75.24026104403066,126.3688321566932,91.84798127750004,10.356741881067842,-0.0665076911836365,201.96286478347028,174.1609016523544,9.897593804728915,188.5504823940313,3.797719113326001,5.0
